datetime,utc,veh_id,lat,lon,type,trip_id,date,start_date
20180113003910PS,31150,B1,+37.33877,-121.89479,ER,F180139008,2018-01-13,2018-01-13
20180113003915PS,31155,B1,+37.33877,-121.89479,ER,F180139008,2018-01-13,2018-01-13
20180113003920PS,31160,B1,+37.33877,-121.89479,ER,F180139008,2018-01-13,2018-01-13
20180113003924PS,31164,B1,+37.33877,-121.89479,ER,F180139008,2018-01-13,2018-01-13
20180113003928PS,31168,B1,+37.33877,-121.89479,ER,F180139008,2018-01-13,2018-01-13
20180113003932PS,31172,B1,+37.33877,-121.89479,ER,F180139008,2018-01-13,2018-01-13
20180113003936PS,31176,B1,+37.33877,-121.89479,ER,F180139008,2018-01-13,2018-01-13
20180113003940PS,31180,B1,+37.33877,-121.89479,ER,F180139008,2018-01-13,2018-01-13
20180113003945PS,31185,B1,+37.33877,-121.89479,ER,F180139008,2018-01-13,2018-01-13
20180113003950PS,31190,B1,+37.33877,-121.89479,ER,F180139008,2018-01-13,2018-01-13
20180113003954PS,31194,B1,+37.33877,-121.89479,ER,F180139008,2018-01-13,2018-01-13
20180113003958PS,31198,B1,+37.33877,-121.89479,ER,F180139008,2018-01-13,2018-01-13
20180113004002PS,31202,B1,+37.33880,-121.89470,ER,F180139008,2018-01-13,2018-01-13
20180113004007PS,31207,B1,+37.33877,-121.89459,ER,F180139008,2018-01-13,2018-01-13
20180113004011PS,31211,B1,+37.33851,-121.89443,ER,F180139008,2018-01-13,2018-01-13
20180113004015PS,31215,B1,+37.33826,-121.89457,ER,F180139008,2018-01-13,2018-01-13
20180113004021PS,31221,B1,+37.33789,-121.89536,ER,F180139008,2018-01-13,2018-01-13
20180113004027PS,31227,B1,+37.33752,-121.89628,ER,F180139008,2018-01-13,2018-01-13
20180113004032PS,31232,B1,+37.33732,-121.89723,ER,F180139008,2018-01-13,2018-01-13
20180113004039PS,31239,B1,+37.33691,-121.89851,ER,F180139008,2018-01-13,2018-01-13
20180113004043PS,31243,B1,+37.33713,-121.89882,ER,F180139008,2018-01-13,2018-01-13
20180113004047PS,31247,B1,+37.33745,-121.89869,ER,F180139008,2018-01-13,2018-01-13
20180113004055PS,31255,B1,+37.33717,-121.89795,ER,F180139008,2018-01-13,2018-01-13
20180113004100PS,31260,B1,+37.33644,-121.89769,ER,F180139008,2018-01-13,2018-01-13
20180113004105PS,31264,B1,+37.33568,-121.89752,ER,F180139008,2018-01-13,2018-01-13
20180113004110PS,31270,B1,+37.33432,-121.89730,ER,F180139008,2018-01-13,2018-01-13
20180113004114PS,31274,B1,+37.33332,-121.89709,ER,F180139008,2018-01-13,2018-01-13
20180113004118PS,31278,B1,+37.33224,-121.89688,ER,F180139008,2018-01-13,2018-01-13
20180113004124PS,31284,B1,+37.33051,-121.89648,ER,F180139008,2018-01-13,2018-01-13
20180113004129PS,31289,B1,+37.32903,-121.89580,ER,F180139008,2018-01-13,2018-01-13
20180113004133PS,31293,B1,+37.32785,-121.89506,ER,F180139008,2018-01-13,2018-01-13
20180113004137PS,31297,B1,+37.32671,-121.89430,ER,F180139008,2018-01-13,2018-01-13
20180113004141PS,31301,B1,+37.32563,-121.89358,ER,F180139008,2018-01-13,2018-01-13
20180113004145PS,31305,B1,+37.32453,-121.89285,ER,F180139008,2018-01-13,2018-01-13
20180113004149PS,31309,B1,+37.32345,-121.89212,ER,F180139008,2018-01-13,2018-01-13
20180113004155PS,31315,B1,+37.32175,-121.89102,ER,F180139008,2018-01-13,2018-01-13
20180113004159PS,31319,B1,+37.32059,-121.89046,ER,F180139008,2018-01-13,2018-01-13
20180113004203PS,31323,B1,+37.31936,-121.89011,ER,F180139008,2018-01-13,2018-01-13
20180113004208PS,31328,B1,+37.31782,-121.88969,ER,F180139008,2018-01-13,2018-01-13
20180113004212PS,31332,B1,+37.31666,-121.88918,ER,F180139008,2018-01-13,2018-01-13
20180113004216PS,31336,B1,+37.31559,-121.88847,ER,F180139008,2018-01-13,2018-01-13
