"","date_time","veh_id","lat","lon","status","inc_id","full_id","dt","time_diff"
"15888","20181104010317PS","E35",37.24082,-121.77711,"ER","F183089033","E35_F183089033",2018-11-04 01:03:17,0
"15889","20181104010319PS","E35",37.24088,-121.77664,"ER","F183089033","E35_F183089033",2018-11-04 01:03:19,2
"15890","20181104010322PS","E35",37.24092,-121.77618,"ER","F183089033","E35_F183089033",2018-11-04 01:03:22,3
"15891","20181104010323PS","E35",37.24095,-121.77573,"ER","F183089033","E35_F183089033",2018-11-04 01:03:23,1
"15892","20181104010325PS","E35",37.24099,-121.77529,"ER","F183089033","E35_F183089033",2018-11-04 01:03:25,2
"15893","20181104010327PS","E35",37.24101,-121.77486,"ER","F183089033","E35_F183089033",2018-11-04 01:03:27,2
"15894","20181104010329PS","E35",37.24102,-121.77445,"ER","F183089033","E35_F183089033",2018-11-04 01:03:29,2
"15895","20181104010332PS","E35",37.24103,-121.7739,"ER","F183089033","E35_F183089033",2018-11-04 01:03:32,3
"15896","20181104010335PS","E35",37.24108,-121.77338,"ER","F183089033","E35_F183089033",2018-11-04 01:03:35,3
"15897","20181104010338PS","E35",37.24113,-121.77296,"ER","F183089033","E35_F183089033",2018-11-04 01:03:38,3
"15898","20181104010343PS","E35",37.24119,-121.77258,"ER","F183089033","E35_F183089033",2018-11-04 01:03:43,5
"15899","20181104010348PS","E35",37.24143,-121.77243,"ER","F183089033","E35_F183089033",2018-11-04 01:03:48,5
"15900","20181104010352PS","E35",37.24181,-121.77246,"ER","F183089033","E35_F183089033",2018-11-04 01:03:52,4
"15901","20181104010355PS","E35",37.24215,-121.7725,"ER","F183089033","E35_F183089033",2018-11-04 01:03:55,3
"15902","20181104010359PS","E35",37.24252,-121.77252,"ER","F183089033","E35_F183089033",2018-11-04 01:03:59,4
"15903","20181104010404PS","E35",37.24281,-121.77254,"ER","F183089033","E35_F183089033",2018-11-04 01:04:04,5
"15904","20181104010409PS","E35",37.24315,-121.77257,"ER","F183089033","E35_F183089033",2018-11-04 01:04:09,5
"15905","20181104010413PS","E35",37.24347,-121.7726,"ER","F183089033","E35_F183089033",2018-11-04 01:04:13,4
"15906","20181104010417PS","E35",37.24386,-121.77263,"ER","F183089033","E35_F183089033",2018-11-04 01:04:17,4
"15907","20181104010421PS","E35",37.24426,-121.77264,"ER","F183089033","E35_F183089033",2018-11-04 01:04:21,4
"15908","20181104010425PS","E35",37.24463,-121.77257,"ER","F183089033","E35_F183089033",2018-11-04 01:04:25,4
"15909","20181104010429PS","E35",37.24488,-121.77227,"ER","F183089033","E35_F183089033",2018-11-04 01:04:29,4
"15910","20181104010433PS","E35",37.24482,-121.77186,"ER","F183089033","E35_F183089033",2018-11-04 01:04:33,4
"15911","20181104010438PS","E35",37.24447,-121.7717,"ER","F183089033","E35_F183089033",2018-11-04 01:04:38,5
"15912","20181104010443PS","E35",37.24422,-121.77195,"ER","F183089033","E35_F183089033",2018-11-04 01:04:43,5
"15913","20181104010943PS","E35",37.24416,-121.7727,"AR","F183089033","E35_F183089033",2018-11-04 01:09:43,300
