"","date_time","veh_id","lat","lon","status","inc_id","full_id","dt","time_diff"
"3413","20180917152352PD","E13",37.26731,-121.86644,"ER","F182609141","E13_F182609141",2018-09-17 15:23:52,0
"3414","20180917152356PD","E13",37.26731,-121.86644,"ER","F182609141","E13_F182609141",2018-09-17 15:23:56,4
"3415","20180917152401PD","E13",37.2673,-121.86645,"ER","F182609141","E13_F182609141",2018-09-17 15:24:01,5
"3416","20180917152406PD","E13",37.26726,-121.86652,"ER","F182609141","E13_F182609141",2018-09-17 15:24:06,5
"3417","20180917152411PD","E13",37.26724,-121.8666,"ER","F182609141","E13_F182609141",2018-09-17 15:24:11,5
"3418","20180917152416PD","E13",37.26724,-121.86667,"ER","F182609141","E13_F182609141",2018-09-17 15:24:16,5
"3419","20180917152421PD","E13",37.26737,-121.86679,"ER","F182609141","E13_F182609141",2018-09-17 15:24:21,5
"3420","20180917152426PD","E13",37.26768,-121.86692,"ER","F182609141","E13_F182609141",2018-09-17 15:24:26,5
"3421","20180917152430PD","E13",37.26804,-121.86709,"ER","F182609141","E13_F182609141",2018-09-17 15:24:30,4
"3422","20180917152433PD","E13",37.26839,-121.86725,"ER","F182609141","E13_F182609141",2018-09-17 15:24:33,3
"3423","20180917152436PD","E13",37.26878,-121.86743,"ER","F182609141","E13_F182609141",2018-09-17 15:24:36,3
"3424","20180917152439PD","E13",37.2692,-121.86762,"ER","F182609141","E13_F182609141",2018-09-17 15:24:39,3
"3425","20180917152442PD","E13",37.26964,-121.86781,"ER","F182609141","E13_F182609141",2018-09-17 15:24:42,3
"3426","20180917152445PD","E13",37.27008,-121.86801,"ER","F182609141","E13_F182609141",2018-09-17 15:24:45,3
"3427","20180917152447PD","E13",37.27038,-121.86815,"ER","F182609141","E13_F182609141",2018-09-17 15:24:47,2
"3428","20180917152449PD","E13",37.27068,-121.86829,"ER","F182609141","E13_F182609141",2018-09-17 15:24:49,2
"3429","20180917152451PD","E13",37.27098,-121.86842,"ER","F182609141","E13_F182609141",2018-09-17 15:24:51,2
"3430","20180917152453PD","E13",37.27128,-121.86856,"ER","F182609141","E13_F182609141",2018-09-17 15:24:53,2
"3431","20180917152455PD","E13",37.27158,-121.8687,"ER","F182609141","E13_F182609141",2018-09-17 15:24:55,2
"3432","20180917152457PD","E13",37.27188,-121.86883,"ER","F182609141","E13_F182609141",2018-09-17 15:24:57,2
"3433","20180917152500PD","E13",37.27232,-121.86903,"ER","F182609141","E13_F182609141",2018-09-17 15:25:00,3
